Geocode,Geographic name,Sex,Data quality flag,Census Years,Note,0 to 14 years (counts),0 to 14 years (% distribution),15 to 64 years (counts),15 to 64 years (% distribution),65 years and over (counts),65 years and over (% distribution),Total (counts),Total (% distribution),Median age,   
01,Canada,Both sexes,20000,1921,5,3023351,34.4,5344354,60.8,420244,4.8,8787949,100,23.9,   
01,Canada,Both sexes,20000,1931,4,3281776,31.6,6518934,62.8,576076,5.6,10376786,100,24.7,   
01,Canada,Both sexes,20000,1941,4,3198551,27.8,7540289,65.5,767815,6.7,11506655,100,27,   
01,Canada,Both sexes,20000,1951,3,4250717,30.3,8672439,61.9,1086273,7.8,14009429,100,27.7,   
01,Canada,Both sexes,20000,1961,2,6191922,34,10655171,58.4,1391154,7.6,18238247,100,26.3,   
01,Canada,Both sexes,20000,1971,1,6380900,29.6,13443005,62.3,1744405,8.1,21568310,100,26.2,   
01,Canada,Both sexes,20000,1981,1,5481100,22.5,16501100,67.8,2360975,9.7,24343180,100,29.6,   
01,Canada,Both sexes,20000,1991,1,5692555,20.9,18434335,67.5,3169970,11.6,27296855,100,33.5,   
01,Canada,Both sexes,20000,2001, ,5725535,19.1,20393005,68,3888550,13,30007090,100,37.6,   
01,Canada,Both sexes,20000,2011, ,5607345,16.7,22924290,68.5,4945060,14.8,33476690,100,40.6,   
01,Canada,Females,20000,1921,5,1497881,35.2,2555145,60,205280,4.8,4258306,100,23.2,   
01,Canada,Females,20000,1931,4,1622762,32.4,3097957,61.9,281526,5.6,5002245,100,24,   
01,Canada,Females,20000,1941,4,1579252,28.2,3649961,65.1,376906,6.7,5606119,100,26.6,   
01,Canada,Females,20000,1951,3,2082659,30.1,4302927,62.2,534970,7.7,6920556,100,27.6,   
01,Canada,Females,20000,1961,2,3025831,33.5,5276486,58.5,717037,7.9,9019354,100,26.6,   
01,Canada,Females,20000,1971,1,3117420,28.9,6692980,62.1,962540,8.9,10772945,100,26.7,   
01,Canada,Females,20000,1981,1,2669970,21.8,8254800,67.2,1350120,11,12274890,100,30.3,   
01,Canada,Females,20000,1991,1,2775650,20.1,9227085,66.7,1839545,13.3,13842280,100,34.2,   
01,Canada,Females,20000,2001, ,2794545,18.3,10279800,67.2,2225895,14.5,15300245,100,38.4,   
01,Canada,Females,20000,2011, ,2736245,16,11579935,67.9,2746285,16.1,17062460,100,41.5,   
01,Canada,Males,20000,1921,5,1525470,33.7,2789209,61.6,214964,4.7,4529643,100,24.7,   
01,Canada,Males,20000,1931,4,1659014,30.9,3420977,63.7,294550,5.5,5374541,100,25.5,   
01,Canada,Males,20000,1941,4,1619299,27.4,3890328,65.9,390909,6.6,5900536,100,27.5,   
01,Canada,Males,20000,1951,3,2168058,30.6,4369512,61.6,551303,7.8,7088873,100,27.8,   
01,Canada,Males,20000,1961,2,3166091,34.3,5378685,58.3,674117,7.3,9218893,100,26.1,   
01,Canada,Males,20000,1971,1,3263480,30.2,6750025,62.5,781860,7.2,10795365,100,25.7,   
01,Canada,Males,20000,1981,1,2811130,23.3,8246305,68.3,1010855,8.4,12068285,100,29,   
01,Canada,Males,20000,1991,1,2916910,21.7,9207250,68.4,1330425,9.9,13454580,100,32.7,   
01,Canada,Males,20000,2001, ,2930990,19.9,10113205,68.8,1662655,11.3,14706850,100,36.8,   
01,Canada,Males,20000,2011, ,2871100,17.5,11344355,69.1,2198775,13.4,16414230,100,39.6,   
10,Newfoundland and Labrador,Both sexes,00000,1921,5,...,...,...,...,...,...,...,...,...,   
10,Newfoundland and Labrador,Both sexes,00000,1931,4,...,...,...,...,...,...,...,...,...,   
10,Newfoundland and Labrador,Both sexes,00000,1941,4,...,...,...,...,...,...,...,...,...,   
10,Newfoundland and Labrador,Both sexes,00000,1951,3,141390,39.1,196536,54.4,23490,6.5,361416,100,21.6,   
10,Newfoundland and Labrador,Both sexes,00000,1961,2,191563,41.8,239395,52.3,26895,5.9,457853,100,19.1,   
10,Newfoundland and Labrador,Both sexes,00000,1971,1,194585,37.3,295445,56.6,32070,6.1,522105,100,20.7,   
10,Newfoundland and Labrador,Both sexes,00000,1981,1,167340,29.5,356560,62.8,43775,7.7,567680,100,25.2,   
10,Newfoundland and Labrador,Both sexes,00000,1991,1,127920,22.5,385390,67.8,55160,9.7,568475,100,30.8,   
10,Newfoundland and Labrador,Both sexes,00000,2001, ,88770,17.3,361105,70.4,63060,12.3,512930,100,38.4,   
10,Newfoundland and Labrador,Both sexes,00000,2011, ,76630,14.9,355805,69.2,82105,16,514535,100,44,   
10,Newfoundland and Labrador,Females,00000,1921,5,...,...,...,...,...,...,...,...,...,   
10,Newfoundland and Labrador,Females,00000,1931,4,...,...,...,...,...,...,...,...,...,   
10,Newfoundland and Labrador,Females,00000,1941,4,...,...,...,...,...,...,...,...,...,   
10,Newfoundland and Labrador,Females,00000,1951,3,69580,39.5,95219,54,11474,6.5,176273,100,21.3,   
10,Newfoundland and Labrador,Females,00000,1961,2,94284,42.3,115303,51.7,13342,6,222929,100,18.8,   
10,Newfoundland and Labrador,Females,00000,1971,1,95235,37.2,143990,56.2,16775,6.6,255995,100,20.7,   
10,Newfoundland and Labrador,Females,00000,1981,1,81630,28.9,176780,62.7,23585,8.4,281990,100,25.5,   
10,Newfoundland and Labrador,Females,00000,1991,1,62760,22,191610,67.3,30265,10.6,284635,100,31.2,   
10,Newfoundland and Labrador,Females,00000,2001, ,43220,16.5,183690,70.1,35060,13.4,261965,100,38.8,   
10,Newfoundland and Labrador,Females,00000,2011, ,37370,14.2,182025,69,44580,16.9,263970,100,44.5,   
10,Newfoundland and Labrador,Males,00000,1921,5,...,...,...,...,...,...,...,...,...,   
10,Newfoundland and Labrador,Males,00000,1931,4,...,...,...,...,...,...,...,...,...,   
10,Newfoundland and Labrador,Males,00000,1941,4,...,...,...,...,...,...,...,...,...,   
10,Newfoundland and Labrador,Males,00000,1951,3,71810,38.8,101317,54.7,12016,6.5,185143,100,22,   
10,Newfoundland and Labrador,Males,00000,1961,2,97279,41.4,124092,52.8,13553,5.8,234924,100,19.5,   
10,Newfoundland and Labrador,Males,00000,1971,1,99355,37.3,151460,56.9,15295,5.7,266110,100,20.8,   
10,Newfoundland and Labrador,Males,00000,1981,1,85715,30,179780,62.9,20195,7.1,285690,100,25,   
10,Newfoundland and Labrador,Males,00000,1991,1,65165,23,193785,68.3,24895,8.8,283840,100,30.3,   
10,Newfoundland and Labrador,Males,00000,2001, ,45545,18.1,177415,70.7,28000,11.2,250960,100,37.9,   
10,Newfoundland and Labrador,Males,00000,2011, ,39260,15.7,173780,69.4,37530,15,250565,100,43.4,   
11,Prince Edward Island,Both sexes,00000,1921,5,28793,32.5,51314,57.9,8508,9.6,88615,100,24.8,   
11,Prince Edward Island,Both sexes,00000,1931,4,28111,31.9,51217,58.2,8710,9.9,88038,100,24.9,   
11,Prince Edward Island,Both sexes,00000,1941,4,28673,30.2,57418,60.4,8956,9.4,95047,100,25.9,   
11,Prince Edward Island,Both sexes,00000,1951,3,32865,33.4,55857,56.7,9707,9.9,98429,100,26.2,   
11,Prince Edward Island,Both sexes,00000,1961,2,37701,36,55998,53.5,10930,10.4,104629,100,24.5,   
11,Prince Edward Island,Both sexes,00000,1971,1,35405,31.7,63890,57.2,12350,11.1,111640,100,24.8,   
11,Prince Edward Island,Both sexes,00000,1981,1,30420,24.8,77195,63,14895,12.2,122505,100,28.8,   
11,Prince Edward Island,Both sexes,00000,1991,1,29360,22.6,83330,64.2,17080,13.2,129765,100,32.8,   
11,Prince Edward Island,Both sexes,00000,2001, ,26645,19.7,90075,66.6,18575,13.7,135295,100,37.7,   
11,Prince Edward Island,Both sexes,00000,2011, ,23055,16.4,94360,67.3,22785,16.3,140205,100,42.8,   
11,Prince Edward Island,Females,00000,1921,5,14108,32.3,25483,58.3,4137,9.5,43728,100,24.9,   
11,Prince Edward Island,Females,00000,1931,4,13835,32.4,24526,57.5,4285,10,42646,100,25,   
11,Prince Edward Island,Females,00000,1941,4,14094,30.8,27255,59.5,4470,9.8,45819,100,25.7,   
11,Prince Edward Island,Females,00000,1951,3,16080,33.4,27237,56.5,4894,10.2,48211,100,26.1,   
11,Prince Edward Island,Females,00000,1961,2,18583,36.2,27034,52.7,5655,11,51272,100,24.5,   
11,Prince Edward Island,Females,00000,1971,1,17335,31.3,31420,56.7,6655,12,55415,100,25.2,   
11,Prince Edward Island,Females,00000,1981,1,14720,23.9,38575,62.7,8270,13.4,61565,100,29.6,   
11,Prince Edward Island,Females,00000,1991,1,14390,21.9,41635,63.3,9770,14.8,65795,100,33.6,   
11,Prince Edward Island,Females,00000,2001, ,13055,18.8,45755,65.8,10735,15.4,69540,100,38.5,   
11,Prince Edward Island,Females,00000,2011, ,11360,15.6,48595,66.9,12650,17.4,72600,100,43.6,   
11,Prince Edward Island,Males,00000,1921,5,14685,32.7,25831,57.5,4371,9.7,44887,100,24.8,   
11,Prince Edward Island,Males,00000,1931,4,14276,31.5,26691,58.8,4425,9.7,45392,100,24.9,   
11,Prince Edward Island,Males,00000,1941,4,14579,29.6,30163,61.3,4486,9.1,49228,100,26.1,   
11,Prince Edward Island,Males,00000,1951,3,16785,33.4,28620,57,4813,9.6,50218,100,26.3,   
11,Prince Edward Island,Males,00000,1961,2,19118,35.8,28964,54.3,5275,9.9,53357,100,24.5,   
11,Prince Edward Island,Males,00000,1971,1,18070,32.1,32465,57.7,5690,10.1,56225,100,24.5,   
11,Prince Edward Island,Males,00000,1981,1,15700,25.8,38615,63.4,6625,10.9,60940,100,28.1,   
11,Prince Edward Island,Males,00000,1991,1,14965,23.4,41690,65.2,7310,11.4,63970,100,32,   
11,Prince Edward Island,Males,00000,2001, ,13595,20.7,44315,67.4,7840,11.9,65755,100,36.8,   
11,Prince Edward Island,Males,00000,2011, ,11695,17.3,45765,67.7,10135,15,67600,100,41.9,   
12,Nova Scotia,Both sexes,00000,1921,5,177591,33.9,308315,58.9,37931,7.2,523837,100,23.6,   
12,Nova Scotia,Both sexes,00000,1931,4,167000,32.6,305197,59.5,40649,7.9,512846,100,24.1,   
12,Nova Scotia,Both sexes,00000,1941,4,168840,29.2,362096,62.7,47026,8.1,577962,100,25.8,   
12,Nova Scotia,Both sexes,00000,1951,3,209487,32.6,378172,58.9,54925,8.5,642584,100,26.5,   
12,Nova Scotia,Both sexes,00000,1961,2,256328,34.8,417262,56.6,63417,8.6,737007,100,24.9,   
12,Nova Scotia,Both sexes,00000,1971,1,240765,30.5,475730,60.3,72465,9.2,788960,100,25.4,   
12,Nova Scotia,Both sexes,00000,1981,1,198490,23.4,556395,65.7,92550,10.9,847440,100,29.3,   
12,Nova Scotia,Both sexes,00000,1991,1,184360,20.5,602185,66.9,113400,12.6,899940,100,33.4,   
12,Nova Scotia,Both sexes,00000,2001, ,165025,18.2,616415,67.9,126565,13.9,908010,100,38.8,   
12,Nova Scotia,Both sexes,00000,2011, ,138215,15,630140,68.4,153370,16.6,921725,100,43.7,   
12,Nova Scotia,Females,00000,1921,5,87322,33.9,150693,58.6,19350,7.5,257365,100,23.4,   
12,Nova Scotia,Females,00000,1931,4,82321,33,146927,58.8,20494,8.2,249742,100,24,   
12,Nova Scotia,Females,00000,1941,4,83099,29.5,175119,62.1,23700,8.4,281918,100,25.6,   
12,Nova Scotia,Females,00000,1951,3,102783,32.4,187143,58.9,27703,8.7,317629,100,26.5,   
12,Nova Scotia,Females,00000,1961,2,125131,34.5,204602,56.4,33030,9.1,362763,100,25.3,   
12,Nova Scotia,Females,00000,1971,1,117380,29.9,235395,60,39720,10.1,392495,100,26.1,   
12,Nova Scotia,Females,00000,1981,1,96755,22.6,279055,65.2,52065,12.2,427865,100,30,   
12,Nova Scotia,Females,00000,1991,1,90335,19.7,302315,66,65650,14.3,458295,100,34.2,   
12,Nova Scotia,Females,00000,2001, ,80860,17.2,314730,67.1,73330,15.6,468920,100,39.5,   
12,Nova Scotia,Females,00000,2011, ,67435,14.2,323250,67.9,85450,17.9,476140,100,44.6,   
12,Nova Scotia,Males,00000,1921,5,90269,33.9,157622,59.2,18581,7,266472,100,23.9,   
12,Nova Scotia,Males,00000,1931,4,84679,32.2,158270,60.2,20155,7.7,263104,100,24.2,   
12,Nova Scotia,Males,00000,1941,4,85741,29,186977,63.2,23326,7.9,296044,100,26.1,   
12,Nova Scotia,Males,00000,1951,3,106704,32.8,191029,58.8,27222,8.4,324955,100,26.5,   
12,Nova Scotia,Males,00000,1961,2,131197,35.1,212660,56.8,30387,8.1,374244,100,24.4,   
12,Nova Scotia,Males,00000,1971,1,123390,31.1,240335,60.6,32745,8.3,396465,100,24.9,   
12,Nova Scotia,Males,00000,1981,1,101740,24.2,277340,66.1,40495,9.7,419575,100,28.5,   
12,Nova Scotia,Males,00000,1991,1,94025,21.3,299870,67.9,47755,10.8,441645,100,32.6,   
12,Nova Scotia,Males,00000,2001, ,84165,19.2,301690,68.7,53235,12.1,439090,100,38,   
12,Nova Scotia,Males,00000,2011, ,70775,15.9,306885,68.9,67925,15.2,445585,100,42.7,   
13,New Brunswick,Both sexes,00000,1921,5,139681,36,224192,57.8,24003,6.2,387876,100,22.2,   
13,New Brunswick,Both sexes,00000,1931,4,144721,35.5,236159,57.9,27339,6.7,408219,100,22.2,   
13,New Brunswick,Both sexes,00000,1941,4,145791,31.9,279176,61,32434,7.1,457401,100,24,   
13,New Brunswick,Both sexes,00000,1951,3,183914,35.7,292750,56.8,39033,7.6,515697,100,24.2,   
13,New Brunswick,Both sexes,00000,1961,2,227187,38,323832,54.2,46917,7.8,597936,100,22.3,   
13,New Brunswick,Both sexes,00000,1971,1,203105,32,376750,59.4,54700,8.6,634555,100,23.9,   
13,New Brunswick,Both sexes,00000,1981,1,173580,24.9,452270,64.9,70555,10.1,696400,100,28.1,   
13,New Brunswick,Both sexes,00000,1991,1,151220,20.9,484535,66.9,88145,12.2,723900,100,33.2,   
13,New Brunswick,Both sexes,00000,2001, ,130095,17.8,500465,68.6,98935,13.6,729500,100,38.6,   
13,New Brunswick,Both sexes,00000,2011, ,113575,15.1,513960,68.4,123635,16.5,751175,100,43.7,   
13,New Brunswick,Females,00000,1921,5,69057,36.2,109746,57.6,11722,6.2,190525,100,22,   
13,New Brunswick,Females,00000,1931,4,71440,35.8,114798,57.5,13361,6.7,199599,100,22,   
13,New Brunswick,Females,00000,1941,4,72321,32.4,134963,60.4,16020,7.2,223304,100,23.8,   
13,New Brunswick,Females,00000,1951,3,90256,35.2,146791,57.2,19439,7.6,256486,100,24.2,   
13,New Brunswick,Females,00000,1961,2,111088,37.6,160308,54.3,24100,8.2,295496,100,22.7,   
13,New Brunswick,Females,00000,1971,1,98795,31.4,186550,59.2,29785,9.5,315135,100,24.4,   
13,New Brunswick,Females,00000,1981,1,84575,24.1,226355,64.6,39465,11.3,350400,100,28.8,   
13,New Brunswick,Females,00000,1991,1,73740,20.1,242310,66.1,50665,13.8,366715,100,33.9,   
13,New Brunswick,Females,00000,2001, ,63240,17,252315,67.7,57240,15.4,372790,100,39.4,   
13,New Brunswick,Females,00000,2011, ,55625,14.5,260745,67.8,68365,17.8,384730,100,44.6,   
13,New Brunswick,Males,00000,1921,5,70624,35.8,114446,58,12281,6.2,197351,100,22.5,   
13,New Brunswick,Males,00000,1931,4,73281,35.1,121361,58.2,13978,6.7,208620,100,22.4,   
13,New Brunswick,Males,00000,1941,4,73470,31.4,144213,61.6,16414,7,234097,100,24.2,   
13,New Brunswick,Males,00000,1951,3,93658,36.1,145959,56.3,19594,7.6,259211,100,24.3,   
13,New Brunswick,Males,00000,1961,2,116099,38.4,163524,54.1,22817,7.5,302440,100,21.9,   
13,New Brunswick,Males,00000,1971,1,104310,32.7,190200,59.5,24915,7.8,319425,100,23.4,   
13,New Brunswick,Males,00000,1981,1,89005,25.7,225910,65.3,31085,9,346005,100,27.4,   
13,New Brunswick,Males,00000,1991,1,77475,21.7,242230,67.8,37485,10.5,357185,100,32.4,   
13,New Brunswick,Males,00000,2001, ,66860,18.7,248150,69.6,41695,11.7,356705,100,37.7,   
13,New Brunswick,Males,00000,2011, ,57950,15.8,253220,69.1,55270,15.1,366440,100,42.8,   
24,Quebec,Both sexes,20000,1921,5,899651,38.1,1352072,57.3,108787,4.6,2360510,100,20.8,   
24,Quebec,Both sexes,20000,1931,4,1022828,35.6,1713591,59.6,138243,4.8,2874662,100,22.1,   
24,Quebec,Both sexes,20000,1941,4,1062813,31.9,2093114,62.8,175955,5.3,3331882,100,24.1,   
24,Quebec,Both sexes,20000,1951,3,1366108,33.7,2457476,60.6,232097,5.7,4055681,100,24.8,   
24,Quebec,Both sexes,20000,1961,2,1863395,35.4,3089515,58.7,306301,5.8,5259211,100,24,   
24,Quebec,Both sexes,20000,1971,1,1785530,29.6,3829215,63.5,413015,6.9,6027760,100,25.6,   
24,Quebec,Both sexes,20000,1981,1,1395725,21.7,4473310,69.5,569370,8.8,6438405,100,29.7,   
24,Quebec,Both sexes,20000,1991,1,1378180,20,4746865,68.8,770920,11.2,6895965,100,34.2,   
24,Quebec,Both sexes,20000,2001, ,1291580,17.8,4986085,68.9,959815,13.3,7237480,100,38.8,   
24,Quebec,Both sexes,20000,2011, ,1258620,15.9,5386690,68.2,1257685,15.9,7903000,100,41.9,   
24,Quebec,Females,20000,1921,5,450024,38.1,676397,57.3,54438,4.6,1180859,100,20.7,   
24,Quebec,Females,20000,1931,4,508833,35.6,848806,59.5,69697,4.9,1427336,100,21.8,   
24,Quebec,Females,20000,1941,4,526728,31.8,1042664,62.9,89508,5.4,1658900,100,24.1,   
24,Quebec,Females,20000,1951,3,670244,33,1244680,61.2,118630,5.8,2033554,100,25,   
24,Quebec,Females,20000,1961,2,912169,34.7,1553585,59.1,161601,6.2,2627355,100,24.5,   
24,Quebec,Females,20000,1971,1,872990,28.8,1927770,63.6,232455,7.7,3033215,100,26.2,   
24,Quebec,Females,20000,1981,1,679595,20.8,2253125,69,333485,10.2,3266210,100,30.6,   
24,Quebec,Females,20000,1991,1,672215,19.1,2387190,67.9,458885,13,3518295,100,35.2,   
24,Quebec,Females,20000,2001, ,632505,17.1,2507570,67.7,564555,15.2,3704635,100,39.8,   
24,Quebec,Females,20000,2011, ,615880,15.3,2700495,67.1,710765,17.6,4027140,100,43,   
24,Quebec,Males,20000,1921,5,449627,38.1,675675,57.3,54349,4.6,1179651,100,20.9,   
24,Quebec,Males,20000,1931,4,513995,35.5,864785,59.8,68546,4.7,1447326,100,22.3,   
24,Quebec,Males,20000,1941,4,536085,32,1050450,62.8,86447,5.2,1672982,100,24.2,   
24,Quebec,Males,20000,1951,3,695864,34.4,1212796,60,113467,5.6,2022127,100,24.5,   
24,Quebec,Males,20000,1961,2,951226,36.1,1535930,58.4,144700,5.5,2631856,100,23.5,   
24,Quebec,Males,20000,1971,1,912545,30.5,1901440,63.5,180560,6,2994550,100,25,   
24,Quebec,Males,20000,1981,1,716125,22.6,2220185,70,235890,7.4,3172200,100,28.9,   
24,Quebec,Males,20000,1991,1,705960,20.9,2359670,69.9,312040,9.2,3377670,100,33.3,   
24,Quebec,Males,20000,2001, ,659075,18.7,2478515,70.2,395255,11.2,3532845,100,37.8,   
24,Quebec,Males,20000,2011, ,642740,16.6,2686200,69.3,546920,14.1,3875865,100,40.7,   
35,Ontario,Both sexes,20000,1921,5,885434,30.2,1875977,63.9,172251,5.9,2933662,100,26.8,   
35,Ontario,Both sexes,20000,1931,4,958999,27.9,2238523,65.2,234161,6.8,3431683,100,27.7,   
35,Ontario,Both sexes,20000,1941,4,924243,24.4,2562087,67.6,301325,8,3787655,100,29.8,   
35,Ontario,Both sexes,20000,1951,3,1239314,27,2957865,64.3,400363,8.7,4597542,100,30.1,   
35,Ontario,Both sexes,20000,1961,2,2007749,32.2,3720270,59.7,508073,8.1,6236092,100,28.4,   
35,Ontario,Both sexes,20000,1971,1,2208490,28.7,4850200,63,644410,8.4,7703105,100,27.2,   
35,Ontario,Both sexes,20000,1981,1,1886665,21.9,5870250,68.1,868190,10.1,8625105,100,30.6,   
35,Ontario,Both sexes,20000,1991,1,2055240,20.4,6846170,67.9,1183475,11.7,10084885,100,33.6,   
35,Ontario,Both sexes,20000,2001, ,2232750,19.6,7705125,67.5,1472170,12.9,11410045,100,37.2,   
35,Ontario,Both sexes,20000,2011, ,2180770,17,8792725,68.4,1878325,14.6,12851820,100,40.4,   
35,Ontario,Females,20000,1921,5,437213,30.1,928428,64,86131,5.9,1451772,100,26.6,   
35,Ontario,Females,20000,1931,4,472444,28.1,1091216,64.8,119179,7.1,1682839,100,27.7,   
35,Ontario,Females,20000,1941,4,455232,24.4,1254739,67.2,156483,8.4,1866454,100,29.8,   
35,Ontario,Females,20000,1951,3,605507,26.5,1467712,64.3,210153,9.2,2283372,100,30.2,   
35,Ontario,Females,20000,1961,2,979269,31.6,1845987,59.5,276308,8.9,3101564,100,28.9,   
35,Ontario,Females,20000,1971,1,1077400,27.9,2415315,62.5,369485,9.6,3862200,100,27.8,   
35,Ontario,Females,20000,1981,1,918950,21,2953065,67.4,506305,11.6,4378320,100,31.4,   
35,Ontario,Females,20000,1991,1,1001360,19.5,3440335,67,690115,13.4,5131805,100,34.4,   
35,Ontario,Females,20000,2001, ,1088055,18.7,3903915,66.9,841020,14.4,5832985,100,38,   
35,Ontario,Females,20000,2011, ,1063260,16.1,4480200,68,1045220,15.9,6588680,100,41.3,   
35,Ontario,Males,20000,1921,5,448221,30.2,947549,63.9,86120,5.8,1481890,100,27,   
35,Ontario,Males,20000,1931,4,486555,27.8,1147307,65.6,114982,6.6,1748844,100,27.8,   
35,Ontario,Males,20000,1941,4,469011,24.4,1307348,68,144842,7.5,1921201,100,29.9,   
35,Ontario,Males,20000,1951,3,633807,27.4,1490153,64.4,190210,8.2,2314170,100,29.9,   
35,Ontario,Males,20000,1961,2,1028480,32.8,1874283,59.8,231765,7.4,3134528,100,28,   
35,Ontario,Males,20000,1971,1,1131090,29.4,2434890,63.4,274925,7.2,3840905,100,26.6,   
35,Ontario,Males,20000,1981,1,967720,22.8,2917185,68.7,361885,8.5,4246790,100,29.9,   
35,Ontario,Males,20000,1991,1,1053885,21.3,3405840,68.8,493355,10,4953080,100,32.8,   
35,Ontario,Males,20000,2001, ,1144695,20.5,3801210,68.2,631155,11.3,5577055,100,36.4,   
35,Ontario,Males,20000,2011, ,1117510,17.8,4312525,68.9,833105,13.3,6263140,100,39.4,   
46,Manitoba,Both sexes,20000,1921,5,224112,36.7,367011,60.2,18995,3.1,610118,100,22.7,   
46,Manitoba,Both sexes,20000,1931,4,218842,31.3,449681,64.2,31616,4.5,700139,100,24.1,   
46,Manitoba,Both sexes,20000,1941,4,190979,26.2,493114,67.6,45651,6.3,729744,100,27.4,   
46,Manitoba,Both sexes,20000,1951,3,222714,28.7,488359,62.9,65468,8.4,776541,100,29,   
46,Manitoba,Both sexes,20000,1961,2,300106,32.6,538292,58.4,83288,9,921686,100,27.7,   
46,Manitoba,Both sexes,20000,1971,1,286795,29,605895,61.3,95560,9.7,988250,100,26.8,   
46,Manitoba,Both sexes,20000,1981,1,238265,23.2,666140,64.9,121830,11.9,1026240,100,29.9,   
46,Manitoba,Both sexes,20000,1991,1,239730,22,705610,64.6,146600,13.4,1091940,100,33,   
46,Manitoba,Both sexes,20000,2001, ,233715,20.9,729455,65.2,156415,14,1119580,100,36.8,   
46,Manitoba,Both sexes,20000,2011, ,231165,19.1,804655,66.6,172450,14.3,1208270,100,38.4,   
46,Manitoba,Females,20000,1921,5,110650,38.2,170296,58.8,8605,3,289551,100,21.5,   
46,Manitoba,Females,20000,1931,4,107891,32.5,209913,63.2,14270,4.3,332074,100,23,   
46,Manitoba,Females,20000,1941,4,93878,26.7,236971,67.4,20816,5.9,351665,100,26.6,   
46,Manitoba,Females,20000,1951,3,108815,28.5,242851,63.6,30057,7.9,381723,100,28.5,   
46,Manitoba,Females,20000,1961,2,146710,32.4,265542,58.6,40931,9,453183,100,27.9,   
46,Manitoba,Females,20000,1971,1,140615,28.5,301865,61.2,51160,10.4,493640,100,27.4,   
46,Manitoba,Females,20000,1981,1,116195,22.4,335085,64.5,68450,13.2,519735,100,30.7,   
46,Manitoba,Females,20000,1991,1,116990,21.1,351485,63.5,84945,15.3,553420,100,34,   
46,Manitoba,Females,20000,2001, ,114005,20,365565,64.1,90410,15.9,569985,100,37.8,   
46,Manitoba,Females,20000,2011, ,112540,18.3,404010,65.8,97170,15.8,613715,100,39.4,   
46,Manitoba,Males,20000,1921,5,113462,35.4,196715,61.4,10390,3.2,320567,100,24,   
